date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:06	6427/6427	---M-Z	200	added ('OK')	image/svg+xml	etag:%22191b-66e7ce6c-9a015fb0a04e058c;gz%22	https://html.themegenix.com/skillgro/assets/img/icons/h3_features_icon02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/icons/h3_features_icon02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:07	3599/3599	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e0f-66e7ce6c-2036b7e138626b5e;gz%22	https://html.themegenix.com/skillgro/assets/img/icons/h3_features_icon03.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/icons/h3_features_icon03.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:07	8587/8587	---M-Z	200	added ('OK')	image/svg+xml	etag:%22218b-66e7ce6c-ffa92f5758e32745;gz%22	https://html.themegenix.com/skillgro/assets/img/icons/h3_features_icon04.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/icons/h3_features_icon04.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:07	36972/36972	---M--	200	added ('OK')	image/jpeg	etag:%22906c-66e7ce7c-a0cd37daeff04cd9;;;%22	https://html.themegenix.com/skillgro/assets/img/others/h3_about_img.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/h3_about_img.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:08	15978/15978	---M-Z	200	added ('OK')	image/svg+xml	etag:%223e6a-66e7ce7c-f7ab8a9620da074a;gz%22	https://html.themegenix.com/skillgro/assets/img/others/h3_about_shape01.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/h3_about_shape01.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:08	30179/30179	---M-Z	200	added ('OK')	image/svg+xml	etag:%2275e3-66e7ce7c-1b8e00d46e9d0f82;gz%22	https://html.themegenix.com/skillgro/assets/img/others/h3_about_shape02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/h3_about_shape02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:09	5784/5784	---M-Z	200	added ('OK')	image/svg+xml	etag:%221698-66e7ce7c-a4e7dc36350dd666;gz%22	https://html.themegenix.com/skillgro/assets/img/others/h3_about_shape03.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/h3_about_shape03.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:10	13782/13782	---M--	200	added ('OK')	image/jpeg	etag:%2235d6-66e7ce52-43233167ec6b6392;;;%22	https://html.themegenix.com/skillgro/assets/img/bg/h3_courses_bg.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/bg/h3_courses_bg.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:11	101527/101527	---M--	200	added ('OK')	image/jpeg	etag:%2218c97-66e7ce71-51e8f14c9344c3e7;;;%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb01.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb01.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:12	821/821	---M-Z	200	added ('OK')	image/svg+xml	etag:%22335-66e7ce6c-dc1c67bb56ba3523;gz%22	https://html.themegenix.com/skillgro/assets/img/icons/heart02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/icons/heart02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:14	99406/99406	---M--	200	added ('OK')	image/jpeg	etag:%221844e-66e7ce72-d30ea76d1ee50fdd;;;%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb03.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb03.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:14	102489/102489	---M--	200	added ('OK')	image/jpeg	etag:%2219059-66e7ce71-ad2db8205c74c3be;;;%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb02.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb02.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:16	90290/90290	---M--	200	added ('OK')	image/jpeg	etag:%22160b2-66e7ce72-7c0d0dd830673989;;;%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb04.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_thumb04.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:17	1335/1335	---M-Z	200	added ('OK')	image/svg+xml	etag:%22537-66e7ce71-117829f3c06741b8;gz%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_shape01.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_shape01.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:17	3742/3742	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e9e-66e7ce71-8f62f91e5869e534;gz%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_shape02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_shape02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:18	11648/11648	---M-Z	200	added ('OK')	image/svg+xml	etag:%222d80-66e7ce71-6640a732a32ceaaa;gz%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_shape03.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_shape03.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:18	162/162	---M--	200	added ('OK')	image/svg+xml	etag:%22a2-66e7ce71-9994a0de8d883920;;;%22	https://html.themegenix.com/skillgro/assets/img/courses/h3_course_shape04.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/courses/h3_course_shape04.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:19	42585/42585	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a659-66e7ce7b-cc87721d5e082618;gz%22	https://html.themegenix.com/skillgro/assets/img/others/choose_shape03.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/choose_shape03.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:20	541688/541688	---M--	200	added ('OK')	image/jpeg	etag:%22843f8-66e7ce7b-40e4fb98f7719597;;;%22	https://html.themegenix.com/skillgro/assets/img/others/choose_img.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/choose_img.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:20	18789/18789	---M-Z	200	added ('OK')	image/svg+xml	etag:%224965-66e7ce7b-b77b2e2387a15483;gz%22	https://html.themegenix.com/skillgro/assets/img/others/choose_shape01.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/choose_shape01.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:21	241/241	---M--	200	added ('OK')	image/svg+xml	etag:%22f1-66e7ce7b-279978f95a65b9eb;;;%22	https://html.themegenix.com/skillgro/assets/img/others/choose_shape02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/choose_shape02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:21	156484/156484	---M--	200	added ('OK')	image/jpeg	etag:%2226344-66e7ce4e-b372591d9e31392b;;;%22	https://html.themegenix.com/skillgro/assets/img/events/h3_event_thumb01.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/events/h3_event_thumb01.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:22	141213/141213	---M--	200	added ('OK')	image/jpeg	etag:%222279d-66e7ce4f-d06b02641095d96e;;;%22	https://html.themegenix.com/skillgro/assets/img/events/h3_event_thumb03.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/events/h3_event_thumb03.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:22	907/907	---M-Z	200	added ('OK')	image/svg+xml	etag:%2238b-66e7ce4e-54cc6fc7395b8b7a;gz%22	https://html.themegenix.com/skillgro/assets/img/events/h3_event_shape01.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/events/h3_event_shape01.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:22	105613/105613	---M--	200	added ('OK')	image/jpeg	etag:%2219c8d-66e7ce4e-ba83035172e7a49c;;;%22	https://html.themegenix.com/skillgro/assets/img/events/h3_event_thumb02.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/events/h3_event_thumb02.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:22	769/769	---M-Z	200	added ('OK')	image/svg+xml	etag:%22301-66e7ce4e-2ee3103040eb205b;gz%22	https://html.themegenix.com/skillgro/assets/img/events/h3_event_shape02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/events/h3_event_shape02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:23	13537/13537	---M--	200	added ('OK')	image/jpeg	etag:%2234e1-66e7ce52-a7e052d85a94f96d;;;%22	https://html.themegenix.com/skillgro/assets/img/bg/fact_bg.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/bg/fact_bg.jpg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:23	792/792	---M-Z	200	added ('OK')	image/svg+xml	etag:%22318-66e7ce7c-648b7299692f7802;gz%22	https://html.themegenix.com/skillgro/assets/img/others/h3_fact_shape01.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/h3_fact_shape01.svg	(from https://html.themegenix.com/skillgro/index-3.html)
14:04:23	1066/1066	---M-Z	200	added ('OK')	image/svg+xml	etag:%2242a-66e7ce7c-4881ff8d8fa8d29d;gz%22	https://html.themegenix.com/skillgro/assets/img/others/h3_fact_shape02.svg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/user/user/html.themegenix.com/skillgro/assets/img/others/h3_fact_shape02.svg	(from https://html.themegenix.com/skillgro/index-3.html)
